Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"LGA (UR) by LGA (POW) by MTW15P Method of Travel to Work (15 travel modes)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

" Albany (C)"
"MTW15P Method of Travel to Work (15 travel modes)","Train","Bus","Ferry","Tram","Taxi","Car, as driver","Car, as passenger","Truck","Motorbike/scooter","Bicycle","Walked only","Other Mode","Worked at home","Did not go to work","Not stated","Not applicable","Total",
"Kent (S)",0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,8,
"Kojonup (S)",0,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,12,
"Kondinin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Koorda (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kulin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kwinana (C)",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,
"Lake Grace (S)",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,
"Laverton (S)",0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,12,
"Leonora (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,
"Mandurah (C)",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,
"Manjimup (S)",0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,8,
"Meekatharra (S)",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,
"Melville (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,
"Menzies (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Merredin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mingenew (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Moora (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Morawa (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mosman Park (T)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Magnet (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Marshall (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mukinbudin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mundaring (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Murchison (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Murray (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nannup (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Narembeen (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Narrogin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nedlands (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ngaanyatjarraku (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
"Northam (S)",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,
"Northampton (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nungarin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Peppermint Grove (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Perenjori (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
"Perth (C)",4,5,0,0,0,20,4,0,0,0,5,0,3,14,0,0,49,
"Pingelly (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Plantagenet (S)",0,0,0,0,0,327,109,0,0,0,4,3,3,26,8,0,488,
"Port Hedland (T)",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9,
"Quairading (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ravensthorpe (S)",0,4,0,0,0,10,5,0,0,0,0,0,0,9,0,0,29,
"Rockingham (C)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,
"Sandstone (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Serpentine-Jarrahdale (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Shark Bay (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"South Perth (C)",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
"Stirling (C)",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,
"Subiaco (C)",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8,
"Swan (C)",0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,9,
"Tammin (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Three Springs (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Toodyay (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Trayning (S)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
