,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Leonora,0,6,0,0,6,6,0,0,0,0,0,3,0,4,0,0,22
73,Mandurah,12,0,0,0,0,72,5,0,0,0,0,0,0,4,0,0,94
74,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
75,Meekatharra,0,0,0,0,0,0,0,0,0,0,6,4,0,6,0,0,11
76,Melville,58,127,0,0,0,2272,154,6,3,12,6,0,5,378,14,0,3033
77,Menzies,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,11
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,4,0,0,0,0,58,5,0,0,0,0,0,0,3,0,0,65
83,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,3,0,0,0,0,118,7,0,0,0,0,0,0,11,0,0,138
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,23
89,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,Narrogin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
92,Nedlands,42,11,0,0,3,506,22,0,7,7,0,0,0,62,3,0,681
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
94,Northam,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,26
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,21
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4
99,Perth,2260,563,0,0,8,2025,297,4,40,104,9,38,37,462,56,0,5912
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,11,0,0,0,9,5,0,0,0,4,3,0,10,0,0,41
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
105,Rockingham,17,0,0,0,0,224,12,0,5,0,0,0,3,22,0,0,280
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,82,3,0,0,0,0,0,3,5,0,0,90
108,Shark Bay,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
109,South Perth,8,60,0,0,5,864,53,0,0,21,6,0,14,107,11,0,1142
110,Stirling,113,12,0,0,0,1110,46,4,4,5,6,8,3,97,12,0,1425
111,Subiaco,129,19,3,0,0,640,32,0,0,11,0,8,9,86,0,0,938
112,Swan,22,10,0,0,0,856,33,0,3,0,0,8,0,65,7,0,1008
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,67,177,0,0,17,2025,168,4,10,65,45,18,10,278,26,0,2911
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
120,Vincent,115,23,0,0,0,497,27,0,7,8,3,0,8,74,9,0,777
121,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Wandering,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
123,Wanneroo,8,5,0,0,3,178,6,3,0,0,0,0,0,23,0,0,239
124,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,0,0,0,0,0,5,0,0,0,0,5,0,3,0,0,18
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7
134,Yalgoo,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5
135,Yilgarn,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,14
136,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,No Fixed Address (WA),32,20,0,0,16,1032,61,39,5,0,3,35,12,169,20,0,1449
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,0,9,0,6,0,0,17
139,Total,3271,1705,12,7,96,27607,1999,184,158,401,554,399,1269,3908,369,0,41934
