,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
152,Gannawarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Glen Eira,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10
154,Glenelg,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9
155,Golden Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Greater Bendigo,0,0,0,0,0,7,0,0,0,0,0,0,0,4,0,0,4
157,Greater Dandenong,3,0,0,0,0,22,0,0,0,0,0,3,3,0,0,0,30
158,Greater Geelong,0,0,0,0,0,12,0,0,0,0,3,0,0,6,0,0,25
159,Greater Shepparton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
160,Hepburn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Hindmarsh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Hobsons Bay,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,16
163,Horsham (RC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Hume,0,0,0,0,5,32,3,0,0,0,0,0,7,4,0,0,44
165,Indigo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Kingston,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,30
167,Knox,0,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,33
168,Latrobe,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8
169,Loddon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
170,Macedon Ranges,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
171,Manningham,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
172,Mansfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Maribyrnong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
174,Maroondah,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,0,7
175,Melbourne,51,22,0,28,4,86,0,0,0,6,45,12,27,42,4,0,319
176,Melton,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,9
177,Mildura (RC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Mitchell,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4
179,Moira,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
180,Monash,4,0,0,0,0,55,0,0,0,0,0,6,7,13,0,0,82
181,Moonee Valley,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,11
182,Moorabool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Moreland,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
184,Mornington Peninsula,0,0,0,0,0,8,0,0,0,0,33,3,0,8,0,0,50
185,Mount Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Moyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Murrindindi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Nillumbik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Northern Grampians,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
190,Port Phillip,6,0,0,6,0,42,3,0,0,0,8,5,10,4,0,0,80
191,Pyrenees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Queenscliffe (B),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
