,LGA (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
73,Mandurah,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
74,Manjimup,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,20
75,Meekatharra,0,9,0,0,0,7,5,0,0,0,0,5,0,13,3,0,35
76,Melville,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,11
77,Menzies,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8
78,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Mosman Park,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
83,Mount Magnet,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
84,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Mundaring,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
87,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Murray,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
89,Nannup,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,23
90,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
91,Narrogin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6
92,Nedlands,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,16
93,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Northam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Peppermint Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Perenjori,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6
99,Perth,14,15,0,0,0,32,0,3,0,0,0,13,3,22,0,0,96
100,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,Port Hedland,0,4,0,0,0,9,0,0,0,0,0,0,0,8,0,0,25
103,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Ravensthorpe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
105,Rockingham,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
106,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Serpentine-Jarrahdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,South Perth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
110,Stirling,0,0,0,0,0,15,0,0,0,0,0,4,6,4,0,0,29
111,Subiaco,4,0,0,0,0,8,0,0,0,0,0,0,4,0,0,0,23
112,Swan,0,0,0,0,0,15,0,0,0,0,0,0,0,4,0,0,24
113,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
116,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Victoria Park,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15
119,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Vincent,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,5
121,Wagin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
122,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Wanneroo,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,9
124,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
125,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6
128,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wiluna,0,4,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9
130,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Wyndham-East Kimberley,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
134,Yalgoo,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
135,Yilgarn,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
136,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,No Fixed Address (WA),0,22,0,0,0,723,60,22,0,0,10,23,10,130,24,0,1036
138,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,0,18,0,5,3,0,31
139,Total,19,286,7,3,31,10484,864,120,51,243,441,208,1048,1961,213,0,15984
