,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,27,0,0,0,9,8,0,0,0,31,7,4,43,4,0,136
74,Leonora,0,20,0,0,0,11,18,0,0,0,36,5,0,42,0,0,136
75,Mandurah,3,0,0,0,0,20,4,0,0,0,0,0,3,6,0,0,35
76,Manjimup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,11,0,0,0,5,12,0,0,0,13,0,0,22,0,0,75
78,Melville,140,0,0,0,0,544,19,3,4,0,3,0,46,95,0,0,858
79,Menzies,0,5,0,0,3,3,6,0,0,0,11,0,0,12,0,0,42
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
84,Mosman Park,3,0,0,0,0,78,0,0,0,0,0,0,0,14,0,0,96
85,Mount Magnet,0,0,0,0,0,10,3,0,0,0,3,0,0,9,0,0,29
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,98,6,6,0,0,0,0,7,16,0,0,133
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,3
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94,Nedlands,38,0,0,0,4,748,28,4,8,3,3,0,23,121,0,0,978
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,27
97,Northampton,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,17
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,3,0,0,0,0,26,0,0,0,0,0,0,0,4,0,0,34
100,Perenjori,0,6,0,0,0,0,3,0,0,0,0,0,0,7,0,0,18
101,Perth,4910,78,0,0,23,4710,290,7,57,83,96,6,1746,1546,44,0,13598
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,18,0,0,0,36,17,0,0,0,15,9,12,45,0,0,157
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,13,0,0,0,9,0,0,0,0,0,0,0,12,0,0,32
107,Rockingham,10,0,0,0,0,70,0,0,0,0,0,0,0,6,0,0,89
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,18,4,0,0,0,0,0,0,5,0,0,19
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
111,South Perth,26,0,0,0,0,359,11,0,0,0,4,0,33,49,4,0,484
112,Stirling,232,38,4,0,27,7797,293,31,15,36,31,10,328,1050,25,0,9920
113,Subiaco,116,3,0,0,0,994,43,0,0,4,3,0,104,169,4,0,1442
114,Swan,34,12,0,0,8,3112,111,28,10,5,16,0,80,338,15,0,3767
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
117,Toodyay,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
120,Victoria Park,85,3,0,0,4,832,18,0,3,0,6,3,57,196,5,0,1208
121,Victoria Plains,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,7
122,Vincent,305,0,0,0,6,1108,56,4,5,6,12,0,90,193,9,0,1799
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,65,42,3,0,23,6838,347,46,19,21,26,7,120,862,25,0,8448
126,Waroona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,10,0,0,0,6,3,0,0,0,17,0,0,29,0,0,65
132,Wongan-Ballidu,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,16
136,Yalgoo,0,4,0,0,0,0,5,0,0,0,6,0,0,4,0,0,22
137,Yilgarn,0,7,0,0,0,7,0,0,0,0,0,3,0,4,0,0,22
138,York,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3
139,No Fixed Address (WA),59,30,0,4,17,2761,200,157,4,6,130,23,293,636,17,0,4330
140,Migratory - Offshore - Shipping (WA),0,0,0,0,6,4,0,0,0,0,35,12,0,19,0,0,71
141,Total,6514,863,32,17,228,51337,3116,496,200,314,936,813,7601,10341,237,0,83057
