,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,10,0,0,0,4,12,0,0,0,8,0,0,26,0,0,60
74,Leonora,0,8,0,0,0,4,5,0,0,0,7,0,0,10,0,0,40
75,Mandurah,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,15
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,3,0,0,5,5,0,0,0,0,4,3,0,9,0,0,29
78,Melville,4,14,0,0,3,430,21,0,3,0,0,0,13,57,0,0,544
79,Menzies,0,3,0,0,0,3,6,0,0,0,4,0,0,3,0,0,19
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,36,0,0,0,0,0,0,0,7,0,0,44
85,Mount Magnet,0,0,0,0,0,6,0,0,0,0,3,0,0,4,0,0,12
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,94,4,0,0,0,0,0,0,17,0,0,118
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,5
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Nedlands,3,11,0,0,0,183,0,0,0,0,0,0,6,17,0,0,231
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
100,Perenjori,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,15
101,Perth,277,918,4,0,43,1591,218,0,16,50,62,5,339,387,23,0,3930
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,7,0,0,0,17,3,0,0,0,3,3,0,22,0,0,55
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,10,0,0,0,0,0,0,0,0,0,0,0,4,0,0,15
107,Rockingham,0,0,0,0,0,50,4,0,0,0,0,0,0,10,0,0,63
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,26
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
111,South Perth,0,9,0,0,3,270,17,0,0,0,5,0,15,44,0,0,369
112,Stirling,23,15,0,0,3,909,32,5,3,0,11,0,43,90,8,0,1148
113,Subiaco,15,9,0,0,0,264,16,0,0,6,7,0,13,27,3,0,362
114,Swan,14,14,0,0,5,937,47,5,6,4,6,0,15,95,9,0,1168
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
