,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
73,Laverton,0,5,0,0,0,8,4,0,0,0,10,3,0,16,0,0,50
74,Leonora,0,8,0,0,0,11,3,0,0,0,12,0,0,16,6,0,57
75,Mandurah,3,0,0,0,0,96,4,0,0,0,0,0,3,16,0,0,124
76,Manjimup,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
77,Meekatharra,0,0,0,0,0,3,0,0,0,0,5,0,0,3,0,0,17
78,Melville,59,199,0,0,44,7195,770,43,20,107,71,434,2752,1699,48,0,13434
79,Menzies,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,18
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,195,3,0,4,0,0,0,7,23,0,0,236
85,Mount Magnet,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,57,0,0,0,0,0,0,3,7,0,0,67
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,42,0,0,0,0,0,0,0,6,0,0,48
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,12
94,Nedlands,19,9,0,0,0,463,3,0,0,7,0,0,14,58,0,0,586
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
96,Northam,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,74,0,0,0,0,0,0,0,12,0,0,87
100,Perenjori,0,5,0,0,0,3,0,0,0,0,9,0,0,0,0,0,13
101,Perth,2031,1016,0,0,28,3770,411,0,36,200,78,14,1104,942,30,0,9679
102,Pingelly,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,3,0,0,0,24,8,0,0,0,4,4,8,13,0,0,68
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,7,0,0,0,7,4,0,0,0,0,0,0,0,0,0,18
107,Rockingham,15,0,0,0,0,458,7,0,0,0,0,0,13,59,0,0,554
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,72,3,0,0,0,0,0,3,10,3,0,88
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
111,South Perth,18,25,0,0,5,909,39,0,0,11,6,0,37,122,4,0,1167
112,Stirling,71,6,0,0,5,1208,22,5,4,0,7,4,91,144,0,0,1566
113,Subiaco,46,0,0,0,0,624,34,0,3,8,4,0,51,96,3,0,867
114,Swan,17,0,0,0,0,591,15,4,3,0,0,0,26,57,0,0,711
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,21,40,0,0,8,1185,39,4,7,9,0,0,70,182,6,0,1572
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,121,3,0,0,5,553,29,0,5,0,3,3,53,68,3,0,846
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,4,0,0,0,0,204,6,0,0,0,0,0,7,17,0,0,242
126,Waroona,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,8
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,4,0,0,0,6,5,0,0,0,5,0,0,6,0,0,35
132,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,7
136,Yalgoo,0,0,0,0,0,7,3,0,0,0,0,0,4,0,0,0,16
137,Yilgarn,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,27
138,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,No Fixed Address (WA),19,20,0,0,12,1144,54,42,0,5,46,10,173,260,4,0,1778
140,Migratory - Offshore - Shipping (WA),0,0,0,0,0,5,0,0,0,0,18,9,0,10,0,0,44
141,Total,2617,1791,18,0,158,31870,2153,130,129,438,422,572,4895,5898,156,0,51253
