,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,10,0,0,0,4,0,0,0,0,19,4,0,13,0,0,54
74,Leonora,0,13,0,0,0,8,6,0,0,0,10,4,0,26,0,0,65
75,Mandurah,23,0,0,0,0,267,10,0,3,0,0,0,0,55,0,0,362
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Meekatharra,0,0,0,0,0,5,0,0,0,0,4,0,0,4,0,0,12
78,Melville,143,3,0,0,0,830,25,3,3,0,3,0,12,173,3,0,1213
79,Menzies,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,10
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,4,0,0,0,0,40,0,0,0,0,0,0,0,8,0,0,51
85,Mount Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,22
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,63,0,0,0,0,0,0,0,5,0,0,69
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
94,Nedlands,15,0,0,0,0,92,7,0,0,0,3,0,0,16,0,0,137
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
100,Perenjori,0,0,0,0,0,7,0,0,0,0,4,0,0,7,0,0,13
101,Perth,1028,14,0,0,8,534,38,0,3,0,27,0,278,217,6,0,2166
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Port Hedland,0,6,0,0,0,10,3,3,0,0,4,0,0,15,0,0,49
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,13,0,0,0,3,0,0,0,0,3,0,0,3,0,0,24
107,Rockingham,91,51,3,0,6,1711,121,0,8,3,7,3,23,286,4,0,2330
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,4,0,0,0,193,16,0,0,0,0,0,0,24,0,0,240
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,17,0,0,0,0,136,14,0,0,0,0,0,4,21,0,0,203
112,Stirling,58,4,0,0,0,287,7,3,0,0,3,5,24,34,0,0,421
113,Subiaco,41,0,0,0,0,80,0,0,0,0,0,0,10,11,0,0,150
114,Swan,9,0,0,0,0,205,7,3,0,0,6,0,9,21,0,0,259
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,26,0,0,0,3,248,9,0,7,0,6,0,20,48,3,0,372
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,58,0,0,0,0,108,6,0,0,3,0,0,17,21,0,0,220
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,5,0,0,0,0,71,3,0,0,0,6,0,5,12,0,0,93
126,Waroona,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,4,0,0,0,0,0,0,0,0,4,0,0,7,0,0,20
132,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
136,Yalgoo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
137,Yilgarn,0,9,0,0,0,3,6,0,0,0,0,0,0,3,0,0,20
138,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,No Fixed Address (WA),22,18,0,0,5,615,59,33,0,0,43,3,33,163,8,0,995
140,Migratory - Offshore - Shipping (WA),0,3,0,0,0,0,0,0,0,0,8,4,0,13,0,0,26
141,Total,1846,437,6,0,75,13512,1040,131,40,25,352,185,1015,2503,92,0,21258
