,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,31,0,0,0,29,24,3,0,0,47,7,4,77,3,0,225
74,Leonora,5,20,0,0,0,23,13,0,0,0,20,4,0,49,3,0,134
75,Mandurah,41,264,0,5,58,11361,1058,82,36,87,83,296,1446,2307,88,0,17211
76,Manjimup,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
77,Meekatharra,0,9,0,0,0,10,6,0,0,0,14,0,0,17,0,0,61
78,Melville,87,5,0,0,0,266,13,6,0,0,0,0,28,80,4,0,480
79,Menzies,0,21,0,0,0,5,3,0,0,0,6,0,0,12,0,0,45
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,12
85,Mount Magnet,0,18,0,0,0,0,3,0,0,0,5,0,0,6,0,0,38
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,26
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,11,0,0,0,1541,63,4,0,0,5,0,23,332,6,0,1999
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9
94,Nedlands,5,0,0,0,0,41,4,0,0,0,0,0,4,4,0,0,58
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
96,Northam,0,0,0,0,0,10,0,0,0,0,0,0,3,3,0,0,17
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Perenjori,0,7,0,0,0,0,6,0,0,0,9,0,0,15,0,0,41
101,Perth,682,30,0,0,3,319,30,3,0,0,36,8,227,276,14,0,1622
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
104,Port Hedland,3,6,0,0,3,39,17,0,0,0,9,13,4,36,0,0,138
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,9,0,0,0,9,3,0,0,0,10,0,0,8,0,0,43
107,Rockingham,37,16,0,0,4,1920,66,8,8,0,14,0,28,314,11,0,2426
108,Sandstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Serpentine-Jarrahdale,0,0,0,0,0,175,11,0,0,0,0,0,0,27,0,0,216
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,0,0,0,0,0,52,3,0,0,0,0,0,8,3,0,0,70
112,Stirling,28,0,0,0,0,194,9,0,0,0,9,5,23,44,7,0,316
113,Subiaco,15,0,0,0,0,50,3,0,0,0,0,5,15,11,0,0,100
114,Swan,7,5,0,0,0,155,13,5,4,0,3,0,6,42,0,0,240
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,23,0,0,0,0,87,7,0,0,0,4,0,18,26,0,0,168
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,39,0,0,0,0,61,5,0,0,0,3,0,16,28,5,0,160
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
124,Wandering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Wanneroo,7,0,0,0,0,39,3,5,0,0,4,0,12,16,0,0,86
126,Waroona,0,3,0,0,0,381,36,0,0,0,0,0,0,91,4,0,525
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,12
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
131,Wiluna,0,8,0,0,0,0,3,0,0,0,12,4,0,24,0,0,60
132,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,16
136,Yalgoo,0,5,0,0,0,4,0,0,0,0,8,0,0,9,0,0,27
137,Yilgarn,0,9,0,0,0,8,0,0,0,0,5,4,0,15,0,0,41
138,York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,No Fixed Address (WA),21,34,0,0,10,1196,116,55,0,0,119,14,109,399,17,0,2086
140,Migratory - Offshore - Shipping (WA),0,0,0,0,3,3,0,0,0,0,25,10,0,13,0,0,66
141,Total,1164,979,9,6,111,22055,1827,223,61,95,895,459,2175,5643,208,0,35905
