,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
0,Albany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Armadale,0,0,0,0,0,16,5,0,0,0,0,0,0,8,0,0,21
2,Ashburton,0,6,0,0,0,11,0,0,0,0,4,0,0,21,0,0,38
3,Augusta Margaret River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bassendean,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13
5,Bayswater,0,0,0,0,0,4,0,0,0,0,0,0,0,6,0,0,15
6,Belmont,0,5,0,0,0,53,0,4,0,0,0,0,0,9,0,0,75
7,Beverley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
8,Boddington,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,6
9,Boyup Brook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Bridgetown-Greenbushes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Brookton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Broome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Broomehill-Tambellup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Bruce Rock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Bunbury,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
16,Busselton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cambridge,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11
18,Canning,0,0,0,0,0,33,0,0,0,0,0,0,0,4,0,0,37
19,Capel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Carnamah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Carnarvon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Chapman Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Chittering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Christmas Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
25,Claremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Cockburn,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7
27,Cocos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Collie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Coolgardie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
30,Coorow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Corrigin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
32,Cottesloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cranbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Cuballing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Cue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cunderdin,0,0,0,0,0,25,7,0,0,0,0,0,0,9,0,0,35
37,Dalwallinu,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,9
38,Dandaragan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Dardanup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Derby-West Kimberley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Donnybrook-Balingup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Dowerin,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
44,Dumbleyung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Dundas,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
46,East Fremantle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,East Pilbara,0,11,0,0,0,8,0,0,0,0,16,4,0,22,0,0,57
48,Esperance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Exmouth,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
50,Fremantle,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,3
51,Gingin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Gnowangerup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Goomalling,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,15
54,Gosnells,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,20
55,Greater Geraldton,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11
56,Halls Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jerramungup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Joondalup,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
