,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
73,Laverton,0,19,0,0,0,13,7,0,0,0,21,3,0,41,0,0,112
74,Leonora,0,14,0,0,3,4,8,0,0,0,14,0,0,24,0,0,75
75,Mandurah,0,0,0,0,0,83,8,0,0,0,0,0,0,14,0,0,101
76,Manjimup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
77,Meekatharra,0,9,0,0,0,0,4,0,0,0,6,0,0,17,0,0,40
78,Melville,33,25,0,0,4,1444,52,0,5,0,0,6,33,240,5,0,1849
79,Menzies,0,4,0,0,0,7,5,0,0,0,11,0,0,5,0,0,33
80,Merredin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9
83,Morawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,Mosman Park,0,0,0,0,0,31,0,0,0,0,0,0,5,7,0,0,43
85,Mount Magnet,0,3,0,0,0,3,0,0,0,0,10,0,0,0,0,0,14
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,144,3,0,0,0,3,0,4,10,0,0,170
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,Murray,0,0,0,0,0,56,3,0,0,0,0,0,0,10,0,0,67
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
94,Nedlands,14,0,0,0,0,198,6,0,0,0,0,0,11,30,0,0,259
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Northam,0,0,0,0,0,29,4,0,0,0,0,0,0,0,0,0,29
97,Northampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Nungarin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,Peppermint Grove,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,11
100,Perenjori,0,4,0,0,0,0,0,0,0,0,3,0,0,14,0,0,27
101,Perth,1528,52,0,0,6,1516,130,0,8,5,49,3,468,509,15,0,4287
102,Pingelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Plantagenet,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
104,Port Hedland,0,0,0,0,0,23,7,0,0,0,17,0,7,20,0,0,76
105,Quairading,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Ravensthorpe,0,8,0,0,0,0,0,0,0,0,3,0,0,7,0,0,18
107,Rockingham,4,3,0,0,0,455,17,0,3,0,0,0,7,55,0,0,557
108,Sandstone,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,7
109,Serpentine-Jarrahdale,0,5,0,0,3,557,52,0,5,7,0,0,0,94,5,0,736
110,Shark Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,South Perth,8,0,0,0,3,299,15,0,0,0,3,0,15,41,0,0,384
112,Stirling,56,5,0,0,4,759,18,3,5,0,13,0,63,80,0,0,1005
113,Subiaco,50,0,0,0,0,215,5,0,0,0,6,3,21,42,0,0,350
114,Swan,20,0,0,0,0,1111,30,14,3,0,6,0,20,99,3,0,1316
115,Tammin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Three Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Toodyay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Trayning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Upper Gascoyne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Victoria Park,53,11,0,0,5,938,39,6,0,0,9,0,41,121,4,0,1224
121,Victoria Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vincent,95,0,0,0,0,318,13,0,4,0,6,5,14,57,0,0,516
123,Wagin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Wandering,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
125,Wanneroo,7,0,0,0,0,189,13,9,0,0,0,0,5,22,5,0,242
126,Waroona,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
127,West Arthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Westonia,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
129,Wickepin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Wiluna,0,10,0,0,0,4,0,0,0,0,9,0,0,15,0,0,37
132,Wongan-Ballidu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Woodanilling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Wyalkatchem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Wyndham-East Kimberley,0,4,0,0,0,3,0,0,0,0,0,6,0,4,0,0,16
136,Yalgoo,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,10
137,Yilgarn,0,5,0,0,0,4,0,0,0,0,9,3,0,3,0,0,26
138,York,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8
139,No Fixed Address (WA),29,22,6,0,7,1314,107,58,3,0,78,6,98,304,13,0,2049
140,Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,10,3,0,12,0,0,20
141,Total,2244,619,18,5,150,30103,1957,289,102,78,655,391,2413,5016,187,0,44218
