,LGA (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
72,Lake Grace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,Laverton,0,39,0,0,5,32,31,0,0,0,67,9,6,90,3,0,267
74,Leonora,0,41,0,0,0,31,23,0,0,0,56,8,3,78,5,0,236
75,Mandurah,3,0,0,0,0,20,0,3,0,0,0,0,0,0,0,0,39
76,Manjimup,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,7
77,Meekatharra,0,14,0,0,0,21,9,0,0,0,45,4,0,32,5,0,119
78,Melville,104,7,0,0,0,495,24,3,0,0,10,0,34,116,3,0,802
79,Menzies,0,11,0,0,4,11,5,0,0,0,21,4,0,32,0,0,92
80,Merredin,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6
81,Mingenew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Moora,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,11
83,Morawa,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,5
84,Mosman Park,0,0,0,0,0,56,0,6,0,0,0,0,0,4,0,0,68
85,Mount Magnet,0,9,0,0,4,16,3,0,0,0,15,0,0,15,0,0,59
86,Mount Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Mukinbudin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Mundaring,0,0,0,0,0,195,13,0,0,0,0,0,7,37,0,0,255
89,Murchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
90,Murray,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
91,Nannup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,Narembeen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Narrogin,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,12
94,Nedlands,28,3,0,0,0,655,24,0,5,0,3,0,31,121,3,0,874
95,Ngaanyatjarraku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
96,Northam,0,0,0,0,0,37,3,0,0,0,0,0,0,6,0,0,48
