,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
77,510411023,0,4,0,0,0,31,5,0,0,4,6,4,16,5,0,0,72
78,510411024,0,0,0,0,0,23,0,0,0,0,9,0,19,6,0,0,64
79,510411027,0,0,0,0,0,11,0,0,0,0,0,0,13,0,0,0,32
80,510411029,0,0,0,0,0,43,4,0,0,6,9,0,20,5,0,0,91
81,510411030,0,0,0,0,0,44,9,0,0,5,28,0,26,3,0,0,123
82,510411031,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,15
83,510411033,0,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,21
84,510411035,3,0,0,0,0,51,3,0,0,3,40,0,17,6,0,0,127
85,510411036,8,3,0,0,0,19,3,0,0,8,10,0,0,5,0,0,55
86,510411037,0,7,0,0,0,24,4,0,0,0,17,0,0,0,0,0,64
87,510411041,0,0,0,0,0,44,5,0,0,4,18,0,4,0,0,0,79
88,510411044,7,11,0,0,0,29,6,0,0,4,9,0,0,0,0,0,68
89,510411045,0,0,0,0,0,20,0,0,0,0,4,0,3,0,0,0,29
90,510411047,0,3,0,0,0,15,7,0,0,3,13,0,0,5,0,0,43
91,510411048,0,0,0,0,0,27,0,0,0,5,3,0,6,3,0,0,52
92,510411050,3,6,0,0,0,15,0,0,0,0,28,0,0,7,0,0,65
93,510411051,0,8,0,0,0,40,4,0,0,4,0,0,0,3,0,0,60
94,510411052,4,15,0,0,0,21,8,0,0,5,13,0,0,9,0,0,70
95,510411053,0,5,0,0,0,14,0,0,0,0,15,0,6,0,0,0,44
96,510411054,0,9,0,0,0,25,8,0,0,7,26,0,6,0,0,0,95
97,510411055,4,0,0,0,0,18,0,0,0,0,3,0,0,0,0,0,34
98,510411056,6,16,0,0,0,5,9,0,5,15,16,0,0,9,0,0,79
99,510411057,3,21,0,0,0,30,9,0,0,11,43,0,0,18,0,0,141
100,510411058,9,36,0,0,0,48,9,0,0,15,13,0,0,5,0,0,130
101,510411061,0,4,0,0,0,21,4,0,0,9,3,0,0,3,0,0,53
102,510411062,0,3,0,0,0,19,3,0,0,3,0,0,0,3,0,0,32
103,510411063,5,3,0,0,0,15,4,0,0,0,16,0,0,4,0,0,49
104,510411064,4,4,0,0,0,39,5,0,0,6,5,0,0,7,0,0,73
105,510411065,6,17,0,0,0,10,6,0,0,13,37,0,4,11,0,0,104
106,510411066,0,0,0,0,0,22,4,0,0,4,3,0,0,5,0,0,40
107,510411067,10,10,0,0,0,54,8,0,4,11,20,0,0,10,0,0,122
108,510411069,0,5,0,0,0,28,3,0,0,3,17,0,5,8,6,0,71
109,510411070,4,0,0,0,0,34,6,0,0,11,7,0,0,5,0,0,70
110,510411071,3,7,0,0,0,13,3,0,0,8,0,0,0,0,0,0,27
111,510411073,0,7,0,0,3,18,6,0,0,4,7,0,0,4,0,0,58
112,510411075,4,11,0,0,0,46,0,0,0,3,3,0,0,0,0,0,65
113,510411076,3,19,0,0,0,3,0,0,0,3,11,0,0,4,0,0,35
114,510411077,0,18,0,0,0,54,10,0,0,8,9,0,0,8,0,0,109
115,510411078,3,60,0,0,0,43,15,0,0,28,45,4,7,22,0,0,230
116,510411079,0,6,0,0,0,16,0,0,0,0,6,0,0,0,0,0,30
117,510411080,8,67,0,0,0,23,9,0,0,7,23,0,7,9,3,0,167
118,510411081,3,28,0,0,0,5,4,0,0,14,7,0,0,3,4,0,69
119,510411083,0,4,0,0,0,29,0,0,4,0,3,4,0,3,0,0,50
120,510411084,3,15,0,0,0,80,5,0,0,14,20,0,0,29,0,0,165
121,510411085,19,79,0,0,0,24,12,0,0,24,45,0,0,19,0,0,231
