,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
256,510731686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,510731693,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
258,510741641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
259,510741648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,510751664,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
261,510751665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,510761625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,510761630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,510771627,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
265,510771628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,510771631,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,7
267,510771632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,510771635,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
269,510771636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
270,510771638,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,11
271,510771642,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8
272,510771644,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,17
273,510771646,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,9
274,510781666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
275,510781668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,510791651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,510791655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,510801643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,510801649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280,510811659,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
281,510811663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,510821674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,510821683,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
284,510831652,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
285,510841302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,510841306,0,0,0,0,0,64,0,0,0,0,0,0,3,11,0,0,80
287,510841313,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
288,510841319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,510851301,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
290,510851305,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
291,510871377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,510881329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,510881331,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5
294,510881332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,510881345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296,510881362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
297,510891303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,510891307,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
299,510891308,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
300,510891318,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
301,510891323,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
302,510891324,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,13
303,510901310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,510901321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,510901325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,510911342,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15
307,510911350,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
308,510911353,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,35
309,510911363,0,4,0,0,0,13,0,0,0,0,0,0,0,4,0,0,21
310,510911367,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,12
311,510911368,0,0,0,0,0,31,0,0,0,0,0,0,7,3,0,0,41
312,510911376,3,0,0,0,0,28,3,0,0,0,0,0,4,3,0,0,39
313,510921330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,510921336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,510921346,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
316,510921347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
317,510921356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,510931315,0,0,0,0,0,5,3,0,0,0,0,0,0,3,0,0,6
319,510931328,4,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,17
320,510931341,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
321,510931364,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,17
322,510941304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
