,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
77,510411023,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,27
78,510411024,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15
79,510411027,5,0,0,0,0,32,0,0,0,0,0,0,0,5,0,0,41
80,510411029,11,0,0,0,0,76,0,0,0,0,0,0,0,11,0,0,104
81,510411030,0,4,0,0,0,56,0,0,0,0,0,0,0,3,0,0,73
82,510411031,3,0,0,0,0,23,0,0,0,0,0,5,0,0,0,0,33
83,510411033,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,21
84,510411035,4,4,0,0,0,34,4,0,0,0,0,0,0,0,0,0,50
85,510411036,28,0,0,0,0,48,5,0,0,0,0,0,0,10,0,0,94
86,510411037,9,4,0,0,0,55,10,0,0,0,0,0,0,3,0,0,82
87,510411041,8,0,0,0,0,33,6,0,0,0,0,0,0,5,0,0,51
88,510411044,39,0,0,0,0,40,4,0,0,0,0,0,0,6,0,0,92
89,510411045,0,0,0,0,0,28,3,0,0,0,0,0,0,3,0,0,39
90,510411047,8,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,33
91,510411048,3,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,48
92,510411050,4,4,0,0,0,20,0,0,0,0,0,0,0,3,0,0,31
93,510411051,8,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,47
94,510411052,20,7,0,0,0,55,8,0,6,0,0,0,0,14,0,0,107
95,510411053,3,4,0,0,0,22,0,0,0,0,5,5,0,5,0,0,41
96,510411054,13,3,0,0,0,28,0,0,0,0,0,0,0,5,0,0,55
97,510411055,5,0,0,0,0,14,0,0,0,0,0,0,0,5,0,0,31
98,510411056,35,7,0,0,0,40,13,0,0,0,0,0,0,7,0,0,99
99,510411057,29,7,0,0,0,45,8,0,0,0,0,0,0,12,3,0,103
100,510411058,36,5,0,0,0,70,6,0,0,0,0,0,5,16,0,0,144
101,510411061,8,0,0,0,0,20,0,0,0,0,0,0,0,6,0,0,33
102,510411062,8,0,0,0,0,34,5,0,0,0,0,0,0,3,0,0,50
103,510411063,16,11,0,0,0,47,0,0,0,3,0,0,0,11,0,0,95
104,510411064,15,0,0,0,0,57,0,0,0,0,0,0,0,3,0,0,85
105,510411065,14,5,0,0,0,25,0,0,0,0,0,0,0,0,0,0,50
106,510411066,7,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,46
107,510411067,48,7,0,0,0,142,13,0,0,0,0,0,0,19,0,0,239
108,510411069,29,6,0,0,0,74,11,0,3,0,0,0,0,17,0,0,152
109,510411070,24,0,0,0,0,52,6,0,0,0,0,0,0,8,0,0,98
110,510411071,11,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,19
111,510411073,19,0,0,0,0,52,4,0,0,0,0,3,6,9,0,0,95
112,510411075,10,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,64
113,510411076,19,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,42
114,510411077,16,9,0,0,0,57,8,0,0,0,0,0,0,9,0,0,95
115,510411078,37,10,0,0,0,51,4,0,0,3,0,0,0,13,0,0,125
116,510411079,7,0,0,0,0,15,0,0,0,0,0,5,0,0,0,0,29
117,510411080,99,28,0,0,0,41,8,0,4,0,0,0,5,23,5,0,211
118,510411081,15,4,0,0,0,13,0,0,0,0,0,0,0,4,0,0,40
119,510411083,9,3,0,0,0,38,0,0,0,0,0,0,0,7,0,0,64
