,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
77,510411023,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,35
78,510411024,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13
79,510411027,7,0,0,0,0,36,0,0,5,0,0,0,0,5,0,0,49
80,510411029,21,0,0,0,0,68,3,0,0,0,0,0,0,18,0,0,110
81,510411030,9,3,0,0,0,40,0,0,0,0,0,0,0,6,0,0,64
82,510411031,0,0,0,0,0,33,3,0,0,0,0,0,0,0,0,0,41
83,510411033,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,28
84,510411035,13,0,0,0,0,40,4,0,0,0,0,0,0,3,0,0,60
85,510411036,37,0,0,0,0,62,0,0,0,0,0,0,3,6,0,0,123
86,510411037,26,6,0,0,0,58,3,0,0,0,0,0,0,15,0,0,107
87,510411041,9,0,0,0,0,40,0,0,3,0,0,0,0,6,0,0,54
88,510411044,60,0,0,0,0,63,7,0,0,0,0,0,0,8,0,0,140
89,510411045,9,0,0,0,0,32,0,0,0,0,0,0,0,3,0,0,42
90,510411047,8,4,0,0,0,26,0,0,0,0,0,3,4,3,0,0,45
91,510411048,5,0,0,0,0,41,0,0,0,0,0,0,0,9,3,0,52
92,510411050,3,7,0,0,0,20,0,0,0,0,0,0,0,5,0,0,35
93,510411051,17,0,0,0,0,46,0,0,3,4,0,3,3,11,3,0,89
94,510411052,66,0,0,0,0,88,3,0,4,0,0,0,0,22,0,0,184
95,510411053,11,3,0,0,0,16,0,0,0,0,7,7,0,13,0,0,59
96,510411054,25,0,0,0,0,20,3,0,0,0,0,0,0,7,0,0,51
97,510411055,15,0,0,0,0,25,6,0,0,0,0,0,0,5,5,0,52
98,510411056,68,4,0,0,0,29,0,0,0,0,0,0,0,10,0,0,120
99,510411057,52,7,0,0,0,27,7,0,0,0,0,0,0,5,0,0,103
100,510411058,71,3,0,0,0,75,10,0,0,0,0,5,4,23,0,0,201
101,510411061,13,6,0,0,0,34,4,0,0,0,0,0,0,9,0,0,63
102,510411062,6,0,0,0,0,35,6,0,0,0,0,4,0,4,0,0,54
103,510411063,40,3,0,0,0,49,3,0,5,0,0,0,0,13,0,0,124
104,510411064,24,0,0,0,0,69,8,0,0,0,3,0,0,7,4,0,113
105,510411065,16,4,0,0,0,19,0,0,0,0,0,0,0,3,0,0,48
106,510411066,12,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,49
107,510411067,82,7,0,0,0,149,12,0,4,0,0,0,0,31,9,0,291
108,510411069,82,0,0,0,0,102,15,0,4,0,0,0,5,13,5,0,224
109,510411070,36,0,0,0,0,55,0,3,0,0,0,0,0,12,3,0,110
110,510411071,9,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,16
111,510411073,43,3,0,0,0,83,13,0,0,0,0,0,0,15,3,0,164
112,510411075,23,5,0,0,0,67,3,0,0,0,0,0,4,6,0,0,100
113,510411076,35,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,63
114,510411077,57,3,0,0,0,51,3,6,0,0,0,0,0,16,4,0,145
115,510411078,119,10,0,0,0,63,5,0,0,0,0,3,0,28,3,0,240
116,510411079,7,0,0,0,0,34,0,0,0,0,0,0,0,5,0,0,46
117,510411080,270,10,0,0,0,45,9,0,4,0,0,0,6,38,0,0,391
118,510411081,39,0,0,0,0,15,9,0,0,0,0,0,0,6,0,0,70
119,510411083,28,0,0,0,0,40,0,0,0,0,3,3,0,5,0,0,83
120,510411084,74,4,0,0,0,193,8,0,0,0,0,0,0,55,9,0,344
121,510411085,170,11,0,0,0,39,7,0,0,0,0,0,0,36,0,0,271
122,510411086,57,0,0,0,0,22,5,0,0,0,0,0,0,8,0,0,94
123,510411087,175,11,0,0,0,69,14,0,3,3,0,9,0,35,12,0,333
124,510411088,78,3,0,0,0,38,5,0,0,0,0,0,0,5,0,0,134
125,510411090,38,4,0,0,0,41,3,0,0,0,0,0,0,12,0,0,100
126,510411091,95,4,0,0,0,18,4,0,0,0,0,0,0,13,0,0,133
127,510411092,4,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,36
128,510411093,14,0,0,0,0,47,0,0,0,0,0,0,0,3,0,0,64
129,510411094,251,14,0,0,0,66,13,0,0,0,5,3,8,45,0,0,403
130,510411095,169,7,0,0,0,66,12,0,0,0,0,4,4,24,6,0,295
131,510411096,31,3,0,0,0,16,0,0,0,0,0,0,0,3,0,0,48
132,510411097,271,10,0,0,3,63,18,0,0,3,0,4,8,24,4,0,405
133,510411098,439,33,0,0,0,132,25,0,3,0,6,17,15,83,4,0,764
134,510411099,27,0,0,0,0,21,4,0,0,0,0,0,0,4,0,0,55
135,510411100,14,0,0,0,0,33,0,0,0,0,3,0,0,6,0,0,54
136,510411101,47,4,0,0,0,14,3,0,0,0,0,0,0,7,0,0,80
137,510411102,278,12,0,0,0,102,16,0,3,0,0,7,10,39,9,0,486
138,510411103,12,0,0,0,0,32,3,0,0,0,0,0,0,5,0,0,58
